experiment,run,seed,split,corruption,task,model,auc,closure_auc,closure_delta_vs_best_nonclosure,best_nonclosure,steps,n,dim,hidden,iters,params,rel_mode,directed,use_memory,memory_slots,memory_beta,memory_strength
per_graph,karate,0,karate,IN,path2,pair,0.5507034372514114,0.5919402024657954,-0.1510683929572193,jaccard,120,32,48,64,5,4483,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,comm,pair,0.5907872518921774,0.6829391868473864,0.04510840647747594,jaccard,120,32,48,64,5,4483,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,edge,deep,0.8996502990005256,0.8194921219793119,-0.0942927355184775,deep_big,120,32,48,64,5,9347,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,path2,deep,0.4990763693320782,0.5919402024657954,-0.1510683929572193,jaccard,120,32,48,64,5,9347,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,comm,deep,0.568861431196636,0.6829391868473864,0.04510840647747594,jaccard,120,32,48,64,5,9347,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,edge,deep_big,0.9137848574977894,0.8194921219793119,-0.0942927355184775,deep_big,120,32,48,64,5,51587,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,path2,deep_big,0.6016342001927301,0.5919402024657954,-0.1510683929572193,jaccard,120,32,48,64,5,51587,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,comm,deep_big,0.5705447089648836,0.6829391868473864,0.04510840647747594,jaccard,120,32,48,64,5,51587,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,edge,gcn,0.8823432351770322,0.8194921219793119,-0.0942927355184775,deep_big,120,32,48,64,5,29507,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,path2,gcn,0.6043234295395803,0.5919402024657954,-0.1510683929572193,jaccard,120,32,48,64,5,29507,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,comm,gcn,0.5469520419956932,0.6829391868473864,0.04510840647747594,jaccard,120,32,48,64,5,29507,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,edge,closure,0.8194921219793119,0.8194921219793119,-0.0942927355184775,deep_big,120,32,48,64,5,73331,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,path2,closure,0.5919402024657954,0.5919402024657954,-0.1510683929572193,jaccard,120,32,48,64,5,73331,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,comm,closure,0.6829391868473864,0.6829391868473864,0.04510840647747594,jaccard,120,32,48,64,5,73331,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,edge,closure_no_tri,0.8725814629901785,0.8194921219793119,-0.0942927355184775,deep_big,120,32,48,64,5,67187,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,path2,closure_no_tri,0.5018068657492528,0.5919402024657954,-0.1510683929572193,jaccard,120,32,48,64,5,67187,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,comm,closure_no_tri,0.554316609944407,0.6829391868473864,0.04510840647747594,jaccard,120,32,48,64,5,67187,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,edge,closure_no_mem,0.8427786809989708,0.8194921219793119,-0.0942927355184775,deep_big,120,32,48,64,5,60275,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,path2,closure_no_mem,0.6695125462671556,0.5919402024657954,-0.1510683929572193,jaccard,120,32,48,64,5,60275,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,comm,closure_no_mem,0.66577137618036,0.6829391868473864,0.04510840647747594,jaccard,120,32,48,64,5,60275,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,edge,closure_i1,0.873780585499753,0.8194921219793119,-0.0942927355184775,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,path2,closure_i1,0.6583431628909865,0.5919402024657954,-0.1510683929572193,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,comm,closure_i1,0.5432267035138023,0.6829391868473864,0.04510840647747594,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,edge,closure_i2,0.8854065941003944,0.8194921219793119,-0.0942927355184775,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,path2,closure_i2,0.6907245434928229,0.5919402024657954,-0.1510683929572193,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,comm,closure_i2,0.5895265115171422,0.6829391868473864,0.04510840647747594,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,edge,closure_i3,0.8214696145288843,0.8194921219793119,-0.0942927355184775,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,path2,closure_i3,0.5097952861343805,0.5919402024657954,-0.1510683929572193,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,comm,closure_i3,0.6766176151140351,0.6829391868473864,0.04510840647747594,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,edge,closure_i5,0.8194921219793119,0.8194921219793119,-0.0942927355184775,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,path2,closure_i5,0.5919402024657954,0.5919402024657954,-0.1510683929572193,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,IN,comm,closure_i5,0.6829391868473864,0.6829391868473864,0.04510840647747594,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,edge,raw,0.6894616638064717,0.6711933894057541,-0.1018778190114884,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,path2,raw,0.5549914371403111,0.553629748413248,-0.03369429818591052,cn,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,comm,raw,0.5321945589348888,0.5851587981598676,0.033689403430999576,pair,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,edge,cn,0.5984936446968522,0.6711933894057541,-0.1018778190114884,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,path2,cn,0.5873240465991585,0.553629748413248,-0.03369429818591052,cn,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,comm,cn,0.5319972700016168,0.5851587981598676,0.033689403430999576,pair,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,edge,jaccard,0.5380290408883169,0.6711933894057541,-0.1018778190114884,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,path2,jaccard,0.5827912377066109,0.553629748413248,-0.03369429818591052,cn,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,comm,jaccard,0.538896442108328,0.5851587981598676,0.033689403430999576,pair,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,edge,spectral,0.5369018852083952,0.6711933894057541,-0.1018778190114884,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,path2,spectral,0.5697077079715904,0.553629748413248,-0.03369429818591052,cn,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,comm,spectral,0.5321945589348888,0.5851587981598676,0.033689403430999576,pair,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,edge,pair,0.6894616638064717,0.6711933894057541,-0.1018778190114884,deep_big,120,32,48,64,5,4483,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,path2,pair,0.5285834679305658,0.553629748413248,-0.03369429818591052,cn,120,32,48,64,5,4483,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,comm,pair,0.551469394728868,0.5851587981598676,0.033689403430999576,pair,120,32,48,64,5,4483,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,edge,deep,0.7441461727599712,0.6711933894057541,-0.1018778190114884,deep_big,120,32,48,64,5,9347,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,path2,deep,0.499118905408014,0.553629748413248,-0.03369429818591052,cn,120,32,48,64,5,9347,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,comm,deep,0.5448639945435955,0.5851587981598676,0.033689403430999576,pair,120,32,48,64,5,9347,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,edge,deep_big,0.7730712084172425,0.6711933894057541,-0.1018778190114884,deep_big,120,32,48,64,5,51587,raw,0,1,16,2.0,0.2
