domain,K,seed,step,split,raw_acc,raw_edge,raw_foreign,deep_acc,deep_edge,deep_foreign,cl_no_acc,cl_no_edge,cl_no_foreign,cl_mem_acc,cl_mem_edge,cl_mem_foreign,local_deg_diff_best_foreign,local_deg_diff_high_foreign,local_deg_prod_best_foreign,local_deg_prod_high_foreign,local_low_cn_best_foreign,local_low_cn_high_foreign,local_low_jacc_best_foreign,local_low_jacc_high_foreign,local_edge_absent_best_foreign,local_edge_absent_high_foreign,cl_no_curve,cl_mem_curve,slot_cos,slot_pmax,slot_H
nongraph,2,0,1,IN,0.5520833333333334,0.9303712772972401,0.2734625180921759,0.5520833333333334,0.7472307027990406,0.5,0.4479166666666667,0.6906035789617633,0.5273643231777281,0.5520833333333334,0.33829021098557954,0.6860386893232071,0.5485576651698005,0.45144233483019947,0.6289117781954427,0.3710882218045573,0.5918255222127129,0.5918255222127129,0.573584091765317,0.573584091765317,0.5,0.5,0.018976720049977303,0.02905427571386099,0.09460261464118958,0.5028955638408661,0.6931304335594177
nongraph,2,0,1,HARD,0.4895833333333333,0.9173151789576491,0.15577951644494847,0.4895833333333333,0.6058418398988699,0.5,0.5104166666666666,0.5924008744970046,0.5502066537387316,0.4895833333333333,0.41922900462420487,0.39034605688661156,0.5157402073302375,0.5157402073302375,0.5975505026640163,0.5975505026640163,0.5869008505865607,0.4130991494134393,0.5714672772824412,0.4285327227175587,0.5,0.5,0.018758761696517467,0.02910515945404768,0.10403270274400711,0.5029408931732178,0.6931298971176147
nongraph,2,0,30,IN,0.4479166666666667,0.9071103304532985,0.24409695257790015,0.5520833333333334,0.7527301318214199,0.5,0.5520833333333334,0.6767866627554786,0.5384549919039173,0.5520833333333334,0.6610271574417362,0.4669071705126237,0.5381010640687117,0.4618989359312883,0.6085753213018723,0.3914246786981277,0.578455647220498,0.578455647220498,0.5627920212058317,0.5627920212058317,0.5,0.5,0.01683798711746931,0.027159265242516994,-0.016719887033104897,0.5012280941009521,0.6931442022323608
nongraph,2,0,30,HARD,0.4583333333333333,0.9109952906514983,0.144408759953644,0.5416666666666666,0.608118106110289,0.5,0.5416666666666666,0.6021631721651175,0.5137997484955987,0.5416666666666666,0.6031987203129971,0.5274401425705206,0.5257519342964984,0.5257519342964984,0.6237031241594022,0.6237031241594022,0.601963386261166,0.39803661373883403,0.5811715383925478,0.41882846160745224,0.5,0.5,0.01761067658662796,0.02783162146806717,-0.014308775775134563,0.5013608336448669,0.6931435465812683
nongraph,2,0,60,IN,0.47916666666666663,0.9148505003421181,0.24372429399802678,0.46875,0.7485739135929352,0.5,0.46875,0.7486389547737755,0.3789360124075358,0.46875,0.8448457709182116,0.3896100600529927,0.5383895168287617,0.4616104831712383,0.6096743423214558,0.3903256576785442,0.5863595335738352,0.5863595335738352,0.5704177783941773,0.5704177783941773,0.5,0.5,0.022594673559069633,0.03469122387468815,-0.009443829767405987,0.5044485926628113,0.6931075751781464
nongraph,2,0,60,HARD,0.47916666666666663,0.9147516955827599,0.15589485631392977,0.47916666666666663,0.611395956050675,0.5,0.47916666666666663,0.6176991595538699,0.6213201334757208,0.47916666666666663,0.614097124401825,0.5984930391558498,0.5268290429939172,0.5268290429939172,0.6375797067932043,0.6375797067932043,0.6171497481112833,0.38285025188871674,0.598786597120567,0.4012134028794329,0.5,0.5,0.023763220757246017,0.03549758717417717,-0.009514411445707083,0.5046445429325104,0.6931040287017822
nongraph,2,0,90,IN,0.48958333333333337,0.9178756140878526,0.2504185698705865,0.7708333333333334,0.7490503614757926,0.5,0.7708333333333334,0.7079821006608927,0.358703020695811,0.48958333333333337,0.8443783437485353,0.36161980937976246,0.5416310843229297,0.4583689156770703,0.6196022436439217,0.3803977563560783,0.5866721705414328,0.5866721705414328,0.5680729700724579,0.5680729700724579,0.5,0.5,0.021098099648952484,0.03646240383386612,-0.022861399687826633,0.5049633085727692,0.6930975317955017
nongraph,2,0,90,HARD,0.48958333333333337,0.9176898843231651,0.1557925832078375,0.4479166666666667,0.6084330289959933,0.5,0.45833333333333337,0.6043449169224828,0.6059047853551769,0.48958333333333337,0.6161442485723442,0.6115893571381106,0.507260229063818,0.507260229063818,0.6227128459280314,0.6227128459280314,0.6058725504478106,0.39412744955218937,0.5890771273269152,0.4109228726730848,0.5,0.5,0.02084477711468935,0.03804583661258221,-0.028925977647304535,0.5059460997581482,0.6930762231349945
nongraph,2,0,120,IN,0.5833333333333333,0.9361339264956952,0.2977682220314706,0.875,0.7548427748512876,0.5,0.9479166666666667,0.8192272717941832,0.30927076955933785,0.6666666666666667,0.8478906763105003,0.34097987983915157,0.5468741641078948,0.4531258358921052,0.6385317711559267,0.36146822884407326,0.605906333390736,0.605906333390736,0.5829869555109333,0.5829869555109333,0.5,0.5,0.02480409201234579,0.032984938472509384,-0.05287637561559677,0.5021040439605713,0.6931354403495789
nongraph,2,0,120,HARD,0.5,0.9197525699199348,0.16466882486797496,0.5,0.6163055234685966,0.5,0.5,0.6383061460520402,0.576843033827038,0.5,0.6425534803453816,0.5868614125652551,0.5213554465374719,0.5213554465374719,0.590707761385394,0.590707761385394,0.590302395269409,0.4096976047305911,0.5762512201255563,0.4237487798744437,0.5,0.5,0.030730909667909145,0.03662710264325142,-0.06122946739196777,0.5046278238296509,0.6931031942367554
