step,loss,input_same,input_far,same_d,far_d,sep_ratio,same_contract,contract_ratio_loss,h_input_same,h_output_same,h_contract,far_keep,fixed,recovery,move,batch_offd,desc_var,state_var,early_delta,late_delta,eff_ops,op_entropy,id_same,id_far,id_ratio,id_batch,perm_err,curve
1,0.7725613117218018,0.02622130885720253,0.01801050826907158,0.02289416268467903,0.029146650806069374,1.2731034755706787,0.8731125593185425,0.1274263858795166,0.0999060720205307,0.09722481667995453,0.9725754261016846,1.6183128356933594,0.020869508385658264,0.07967578619718552,0.3170550763607025,0.039487678557634354,0.0004635409277398139,0.38917383551597595,0.09762518107891083,0.07946257293224335,7.910674095153809,2.0682129859924316,0.02622130885720253,0.01801050826907158,0.6868650913238525,0.041053928434848785,1.430511474609375e-06,0.100265;0.0949854;0.0900228;0.0854988;0.0813701;0.077555
25,0.4993058145046234,0.021087095141410828,0.020716210827231407,0.014059522189199924,0.022506555542349815,1.6008039712905884,0.6667355298995972,0.014799721539020538,0.09151449799537659,0.06274836510419846,0.685602068901062,1.0864219665527344,0.014465102925896645,0.0516633503139019,0.3695281147956848,0.02508050762116909,0.00015776137297507375,0.24004016816616058,0.10507714003324509,0.07228033244609833,7.80171012878418,2.0543429851531982,0.021087095141410828,0.020716210827231407,0.9824113249778748,0.03265535086393356,1.6689300537109375e-06,0.109832;0.100323;0.0913189;0.0830713;0.0756253;0.0689354
50,0.46805983781814575,0.024811554700136185,0.02735605090856552,0.01243097335100174,0.024169228971004486,1.9442732334136963,0.501015305519104,0.0006412137299776077,0.09478908032178879,0.06456458568572998,0.6824608445167542,0.8835054636001587,0.00918568391352892,0.03378883749246597,0.3426288962364197,0.026740431785583496,0.0001851322886068374,0.24361780285835266,0.08915852010250092,0.05860406160354614,7.859992504119873,2.0617856979370117,0.024811554700136185,0.02735605090856552,1.1025524139404297,0.03894471377134323,1.430511474609375e-06,0.0937194;0.0845976;0.0760979;0.0684312;0.0616121;0.055596
75,0.4785684049129486,0.022851990535855293,0.018457883968949318,0.013621639460325241,0.017770875245332718,1.30460524559021,0.5960808396339417,0.002660586731508374,0.093934565782547,0.06367003917694092,0.6779983639717102,0.96277916431427,0.00842040590941906,0.030913203954696655,0.3674038052558899,0.024544283747673035,0.00015490077203139663,0.24562571942806244,0.0902746319770813,0.05729316920042038,7.713390350341797,2.0429577827453613,0.022851990535855293,0.018457883968949318,0.8077141642570496,0.03601416200399399,1.430511474609375e-06,0.0950884;0.0854609;0.0763445;0.0680097;0.0605568;0.0540295
100,0.47666290402412415,0.022491399198770523,0.05379399657249451,0.011853435076773167,0.03016825020313263,2.5451040267944336,0.5270205736160278,0.013353540562093258,0.08288311213254929,0.05629419535398483,0.6791780591011047,0.5608106255531311,0.007122596260160208,0.026699554175138474,0.3695736229419708,0.023864299058914185,0.00014601339353248477,0.2509135901927948,0.08921828866004944,0.053433261811733246,7.650058269500732,2.0347132682800293,0.022491399198770523,0.05379399657249451,2.3917574882507324,0.039624154567718506,1.1920928955078125e-06,0.0947182;0.0837183;0.0735717;0.0645343;0.0567368;0.0501297
125,0.4616277515888214,0.026813853532075882,0.03719213977456093,0.014107201248407364,0.02668911963701248,1.8918777704238892,0.5261159539222717,0.0005289548425935209,0.091159388422966,0.06399717926979065,0.7028436660766602,0.7176008820533752,0.00710049644112587,0.02703353762626648,0.3830248713493347,0.02776198461651802,0.0002066151355393231,0.28230178356170654,0.09078958630561829,0.053101081401109695,7.663899898529053,2.0365209579467773,0.026813853532075882,0.03719213977456093,1.3870489597320557,0.046183615922927856,1.1920928955078125e-06,0.0967223;0.0848569;0.074018;0.0644886;0.0564234;0.0497788
150,0.4624852240085602,0.016341786831617355,0.035052135586738586,0.01193227432668209,0.028388315811753273,2.3791182041168213,0.7301690578460693,0.004225191660225391,0.08123680204153061,0.05876766890287399,0.7236728668212891,0.8098880648612976,0.00668669119477272,0.025492480024695396,0.3898739218711853,0.031625896692276,0.0002726774546317756,0.29505008459091187,0.0921640545129776,0.051864854991436005,7.6791887283325195,2.0385138988494873,0.016341786831617355,0.035052135586738586,2.144937753677368,0.04236883670091629,1.430511474609375e-06,0.098726;0.0856021;0.073825;0.0636762;0.0552513;0.0484784
175,0.4744986593723297,0.018926655873656273,0.037151895463466644,0.013331177644431591,0.023617194965481758,1.7715747356414795,0.7043595910072327,0.008227737620472908,0.08285655081272125,0.06186680495738983,0.7465952634811401,0.6356926560401917,0.006013589911162853,0.02312251552939415,0.39559707045555115,0.029699943959712982,0.0002651871182024479,0.31669509410858154,0.09389625489711761,0.05009504780173302,7.588473320007324,2.026630401611328,0.018926655873656273,0.037151895463466644,1.9629393815994263,0.04668956249952316,1.1920928955078125e-06,0.101125;0.0866671;0.0737231;0.0626784;0.0536527;0.0465374
200,0.46766597032546997,0.026575667783617973,0.03452485799789429,0.01124713197350502,0.01937231793999672,1.722421407699585,0.4232114851474762,0.0,0.08810341358184814,0.0638594776391983,0.7261323928833008,0.5611119866371155,0.005671519786119461,0.022087913006544113,0.38654279708862305,0.027340229600667953,0.00022525445092469454,0.32111644744873047,0.08891476690769196,0.047277942299842834,7.794622898101807,2.053434133529663,0.026575667783617973,0.03452485799789429,1.2991149425506592,0.04615373909473419,1.430511474609375e-06,0.0963704;0.0814591;0.0687076;0.0583433;0.0503193;0.0442366
225,0.4579775631427765,0.020080799236893654,0.03665701299905777,0.013534693978726864,0.029011618345975876,2.143498420715332,0.6740114092826843,0.0002827764255926013,0.08398634940385818,0.06272239238023758,0.7477332353591919,0.791434109210968,0.006149087101221085,0.02375355362892151,0.39371055364608765,0.0241108275949955,0.00017195308464579284,0.3400161862373352,0.09154850989580154,0.04945749789476395,7.774001598358154,2.0507850646972656,0.020080799236893654,0.03665701299905777,1.8254749774932861,0.036189720034599304,1.430511474609375e-06,0.0990067;0.0840904;0.0713015;0.0608621;0.052653;0.046262
