K,seed,step,split,model,retrieval_acc,edge_auc,edge_ap,foreign_auc,foreign_ap,slot_cos_last,slot_pmax_last,slot_entropy_last,curve_ratio
2,0,90,in,closure_no_mem,0.9375,0.7900291179091694,0.5456173045755116,0.9156713403702175,0.16152459816537648,,,,0.9164356291294098
2,0,90,in,closure_mem,0.8229166666666666,0.835879089606642,0.5544761831870914,0.9130276474621901,0.1575182120038263,0.47412109375,0.789617657661438,0.7610799670219421,0.6014299392700195
2,0,90,hard,raw,0.15625,0.56668747046442,0.18590146523233125,0.48519496124172706,0.0537339047251374,,,,
2,0,90,hard,deep,0.28125,0.8852899547787376,0.4978252848840159,0.7645405584377012,0.10383145986846058,,,,
2,0,90,hard,closure_no_mem,0.3958333333333333,0.6425355208576956,0.24391311616871408,0.9228476972629661,0.3332640983527777,,,,0.918143630027771
2,0,90,hard,closure_mem,0.3645833333333333,0.6556995186699579,0.2505370896597759,0.9290541712454665,0.346110719362807,0.4658203125,0.7640989124774933,0.8265998065471649,0.6004739999771118
2,0,120,in,raw,1.0,1.0,1.0,0.9677439743805832,0.35536842105263156,,,,
2,0,120,in,deep,0.9791666666666666,0.9999163603941891,0.9995471194026339,0.9381908994989522,0.2374323266184266,,,,
2,0,120,in,closure_no_mem,0.8020833333333334,0.8324494521473242,0.5491186725226058,0.9165549155181768,0.16295108600118874,,,,0.9355575740337372
2,0,120,in,closure_mem,0.7291666666666666,0.8313069758210045,0.5455018667570648,0.9155418468815538,0.1657509127369366,0.481689453125,0.7770098447799683,0.7706606388092041,0.5880911350250244
2,0,120,hard,raw,0.19791666666666666,0.5894857624474356,0.20058096019727528,0.5032147209160632,0.054541831326634586,,,,
2,0,120,hard,deep,0.23958333333333334,0.8806422912534864,0.4890448561278894,0.7772830424010978,0.10452714067669991,,,,
2,0,120,hard,closure_no_mem,0.3854166666666667,0.6651672396936202,0.24767910256881137,0.9283976155652544,0.36078485946303196,,,,0.939972847700119
2,0,120,hard,closure_mem,0.34375,0.659489382288566,0.2505246085109578,0.9281208641804172,0.3463601970628127,0.4697265625,0.7412593960762024,0.8674858510494232,0.5868573784828186
4,0,1,in,raw,0.7604166666666666,0.954152102569866,0.7445840680831032,0.7972104186910988,0.1443812421514508,,,,
4,0,1,in,deep,0.28125,0.49771663103870123,0.1296404946376148,0.5089188853935831,0.03022114000926461,,,,
4,0,1,in,closure_no_mem,0.2604166666666667,0.34243448868119153,0.09671271231699219,0.9252347973767558,0.16682399038526294,,,,1.0683287978172302
4,0,1,in,closure_mem,0.25,0.662406470933054,0.29158300951966193,0.9245595310446412,0.16158209958831915,0.145751953125,0.2003329023718834,2.4224737882614136,0.6053008735179901
4,0,1,hard,raw,0.3958333333333333,0.7358026528318976,0.31858752146442637,0.5187411403616967,0.04554363666798852,,,,
4,0,1,hard,deep,0.23958333333333334,0.49754546746283246,0.12298522199289269,0.5008014255604596,0.04486888599267454,,,,
4,0,1,hard,closure_no_mem,0.25,0.42663864273937757,0.11895605444927712,0.8998945579364936,0.19427803854630324,,,,1.0630029439926147
4,0,1,hard,closure_mem,0.2708333333333333,0.552066273198736,0.16037982302899545,0.9219332095530983,0.2682396204412547,0.15521240234375,0.2126758098602295,2.4035192728042603,0.6026305258274078
4,0,30,in,raw,0.8541666666666666,0.9690953564059553,0.8228667510277135,0.8681622805215827,0.21298117930751456,,,,
4,0,30,in,deep,0.96875,0.9163444112203906,0.6757579792270987,0.5096058956434136,0.030159351976310506,,,,
4,0,30,in,closure_no_mem,0.22916666666666666,0.8303078915431182,0.521954905669165,0.9214892150579271,0.14758984578674797,,,,0.9993576109409332
4,0,30,in,closure_mem,0.25,0.7928036558536338,0.47988577038338587,0.9196881866157355,0.14635379517322955,0.28759765625,0.41381266713142395,1.8437861800193787,0.6484697461128235
4,0,30,hard,raw,0.3020833333333333,0.6826223471955836,0.2541801366329955,0.48805833809889904,0.04494233235690148,,,,
4,0,30,hard,deep,0.28125,0.7068875732206039,0.2867812454916957,0.5091376886593798,0.04965748461695822,,,,
4,0,30,hard,closure_no_mem,0.16666666666666666,0.6617621508241212,0.2314132197558702,0.9260339651366973,0.2804674706033991,,,,0.9993157088756561
4,0,30,hard,closure_mem,0.23958333333333334,0.6439501582627746,0.2168909723814833,0.9249948988441691,0.26443950396408317,0.2843017578125,0.4120856821537018,1.8575736284255981,0.647367537021637
4,0,60,in,raw,0.8541666666666666,0.9698487550089109,0.8278451424968611,0.8591812646796969,0.19794887980771655,,,,
4,0,60,in,deep,0.96875,0.9973387753942624,0.9819494451438028,0.5569121073272808,0.035202261857989296,,,,
4,0,60,in,closure_no_mem,0.6979166666666666,0.8390737119612621,0.522607146625086,0.9216016962518427,0.14776236999195472,,,,0.9575733542442322
4,0,60,in,closure_mem,0.6458333333333334,0.7411357700213578,0.4639296181946326,0.9238693275449251,0.15939019756096118,0.35693359375,0.3334949314594269,1.6226021647453308,0.6494907736778259
4,0,60,hard,raw,0.34375,0.7149187409687351,0.2912140052255961,0.5153777939653332,0.045425872433660995,,,,
4,0,60,hard,deep,0.23958333333333334,0.870087120275788,0.4288003420712598,0.5540350152742257,0.05419137813429697,,,,
4,0,60,hard,closure_no_mem,0.22916666666666666,0.6563433405758434,0.21455040046026277,0.9303495548879495,0.3001834980195992,,,,0.9334781765937805
4,0,60,hard,closure_mem,0.19791666666666666,0.627787482102393,0.21859608654639937,0.9285559861915272,0.3079791250968935,0.3521728515625,0.35532937943935394,1.6564128994941711,0.6572555601596832
4,0,90,in,raw,0.84375,0.9686107885318307,0.8155043004712487,0.8369772907459174,0.17673222352952672,,,,
4,0,90,in,deep,0.9479166666666666,0.9983470788366572,0.9882210223466814,0.6199415712403882,0.03741632264327349,,,,
4,0,90,in,closure_no_mem,0.6458333333333334,0.8389121779130935,0.531357346403823,0.9187883738617186,0.14528799872957782,,,,0.9675226509571075
4,0,90,in,closure_mem,0.6770833333333334,0.8276677327642344,0.5285437586396818,0.9188710698831172,0.12902865726494223,0.537353515625,0.676281750202179,0.9514370560646057,0.6630426347255707
4,0,90,hard,raw,0.3541666666666667,0.725425723230923,0.290356401202583,0.5018574048731864,0.04375834142896522,,,,
4,0,90,hard,deep,0.19791666666666666,0.8754333292152333,0.43356576522812873,0.577926133698174,0.05688877188729201,,,,
4,0,90,hard,closure_no_mem,0.1875,0.662468673264195,0.21851946309344922,0.9307091219362325,0.3027764055055582,,,,0.9328944385051727
4,0,90,hard,closure_mem,0.23958333333333334,0.6495069129731559,0.2191346797689222,0.9318669287018121,0.32511546140765757,0.500732421875,0.6281094253063202,1.1055684685707092,0.6693621575832367
4,0,120,in,raw,0.9166666666666666,0.9844650044617466,0.9084433374673806,0.9027560984120738,0.2233771448541517,,,,
4,0,120,in,deep,0.9791666666666666,0.9996000617322749,0.9972833729291024,0.6704297025787974,0.051515049993547335,,,,
4,0,120,in,closure_no_mem,0.71875,0.8363099112457348,0.5161364174541991,0.9214766152461475,0.1497756217190952,,,,0.9963223040103912
4,0,120,in,closure_mem,0.40625,0.8020328146074456,0.5129103013379764,0.9190664985430976,0.13272987460835095,0.56982421875,0.7232558131217957,0.7939575612545013,0.682139128446579
4,0,120,hard,raw,0.375,0.725719381463363,0.30195726040466814,0.5313073001597243,0.05048434299773007,,,,
4,0,120,hard,deep,0.20833333333333334,0.8885573693110044,0.43038225412477504,0.6287984294038448,0.06077051690817431,,,,
4,0,120,hard,closure_no_mem,0.21875,0.6640654241737685,0.20443519148681108,0.9276938925271391,0.3252357407271496,,,,0.9568540751934052
4,0,120,hard,closure_mem,0.15625,0.6523977151094646,0.21508259896664855,0.9309173154336268,0.33720424337168203,0.54345703125,0.6866125464439392,0.9124102294445038,0.6953156590461731
