K,seed,step,split,model,retrieval_acc,edge_auc,edge_ap,foreign_auc,foreign_ap,slot_cos_last,slot_pmax_last,slot_entropy_last,curve_ratio
2,0,1,in,raw,1.0,1.0,1.0,0.9676586507049971,0.35714285714285715,,,,
2,0,1,in,deep,0.5520833333333334,0.5169603793526079,0.1624744513160244,0.5082799452646393,0.03601130057057694,,,,
2,0,1,in,closure_no_mem,0.5,0.3153112030814214,0.14142303215276503,0.9203142230665343,0.1754257593286569,,,,1.0688416957855225
2,0,1,in,closure_mem,0.5833333333333334,0.34585890320107116,0.17138800493317138,0.9252739407425699,0.18555074028112428,0.23406982421875,0.19574271142482758,2.427623987197876,0.6185752153396606
2,0,1,hard,raw,0.14583333333333334,0.5611935198198997,0.1814998392393315,0.4820900256292151,0.05376254801635647,,,,
2,0,1,hard,deep,0.4479166666666667,0.5125102256788674,0.15723022605697123,0.502458996312468,0.05668426812634134,,,,
2,0,1,hard,closure_no_mem,0.59375,0.43114159337362573,0.1481779250446515,0.8876462533015734,0.19264506739235615,,,,1.0753968358039856
2,0,1,hard,closure_mem,0.4479166666666667,0.45342587834891346,0.15788514840525214,0.8808773362529903,0.18808915411379806,0.23394775390625,0.1965603455901146,2.4312294721603394,0.6185722649097443
2,0,30,in,raw,1.0,1.0,1.0,0.9689336338170559,0.3618862210685702,,,,
2,0,30,in,deep,1.0,0.995640440297238,0.9801505705630507,0.6584894458306811,0.05894795845920113,,,,
2,0,30,in,closure_no_mem,0.5208333333333334,0.7291288412792233,0.46946754041577926,0.9136231144153011,0.1561832266415246,,,,1.0031694769859314
2,0,30,in,closure_mem,0.8958333333333334,0.8334550983182368,0.5485522009541466,0.9193574331169884,0.16965710736154635,0.3948974609375,0.5445602536201477,1.5865743160247803,0.5925668478012085
2,0,30,hard,raw,0.15625,0.5651986879445303,0.18504799651289944,0.48664074821451936,0.05405300420070555,,,,
2,0,30,hard,deep,0.2604166666666667,0.8392409114661665,0.4336870076525824,0.5252503786263756,0.05964697579109082,,,,
2,0,30,hard,closure_no_mem,0.5729166666666666,0.5883794385287588,0.2264258854020018,0.9250826670408593,0.3255101992397141,,,,0.9965162575244904
2,0,30,hard,closure_mem,0.4479166666666667,0.6605725056525107,0.2523667426862666,0.901642199308712,0.2665705646922174,0.3983154296875,0.5438449680805206,1.5853849649429321,0.5912749171257019
2,0,60,in,raw,1.0,1.0,1.0,0.9673549635174632,0.3393617021276596,,,,
2,0,60,in,deep,1.0,1.0,1.0,0.9192967778780418,0.20869609494838243,,,,
2,0,60,in,closure_no_mem,0.7395833333333334,0.7062316892521168,0.5077884397535953,0.9172026000197682,0.16752367631359324,,,,0.9133259057998657
2,0,60,in,closure_mem,0.7916666666666666,0.8267827331504015,0.5519128245935835,0.9132639352223654,0.15508317632401267,0.422607421875,0.6966804265975952,1.0773630142211914,0.5708675384521484
2,0,60,hard,raw,0.22916666666666666,0.6059269704608119,0.216060948249027,0.518995041675445,0.05668657397015122,,,,
2,0,60,hard,deep,0.17708333333333334,0.8715663666587798,0.46874854591779425,0.6366754825369357,0.07003593620696379,,,,
2,0,60,hard,closure_no_mem,0.53125,0.5568232332448979,0.22019502836720367,0.9048256984197791,0.2766622924042036,,,,0.9130993187427521
2,0,60,hard,closure_mem,0.4375,0.653929766604233,0.2535986724131829,0.9280131435986357,0.32681545692598357,0.412353515625,0.6744062602519989,1.1462557315826416,0.5708093643188477
2,0,90,in,raw,0.9895833333333334,0.9949339366881109,0.9829870833220852,0.9592151322952556,0.34722885220115196,,,,
2,0,90,in,deep,1.0,0.9999999999999999,1.0,0.9439227323239602,0.23515709886080974,,,,
