domain,K,seed,step,split,raw_acc,raw_edge,raw_foreign,deep_acc,deep_edge,deep_foreign,cl_no_acc,cl_no_edge,cl_no_foreign,cl_mem_acc,cl_mem_edge,cl_mem_foreign,local_deg_diff_best_foreign,local_deg_diff_high_foreign,local_deg_prod_best_foreign,local_deg_prod_high_foreign,local_low_cn_best_foreign,local_low_cn_high_foreign,local_low_jacc_best_foreign,local_low_jacc_high_foreign,local_edge_absent_best_foreign,local_edge_absent_high_foreign,cl_no_curve,cl_mem_curve,slot_cos,slot_pmax,slot_H
graph,2,0,1,IN,0.9895833333333333,0.995963247390188,0.8156132408185468,0.5520833333333334,0.7358828940982765,0.5,0.4479166666666667,0.7199294770893188,0.4486383500794325,0.5520833333333334,0.3278467791656434,0.6129954530306169,0.5579930348945269,0.4420069651054731,0.5925739964778655,0.4074260035221346,0.5854907432142209,0.5854907432142209,0.5691282793987061,0.5691282793987061,0.5,0.5,0.01868679467588663,0.029131775721907616,0.10663687437772751,0.5029557645320892,0.6931297481060028
graph,2,0,1,HARD,0.4479166666666667,0.7789979606059438,0.3166935176181006,0.4895833333333333,0.5905270392837287,0.5,0.5104166666666666,0.5918371189461655,0.5403029572934548,0.4895833333333333,0.4244946001804935,0.43318896766025916,0.5108149886896297,0.5108149886896297,0.5570358584261896,0.5570358584261896,0.560101506419153,0.439898493580847,0.5526149912884096,0.44738500871159037,0.5,0.5,0.01853774953633547,0.02917663101106882,0.112335454672575,0.50298672914505,0.6931293606758118
graph,2,0,30,IN,1.0,1.0,0.8378302599979356,0.5520833333333334,0.7425200732745298,0.5,0.5520833333333334,0.8193742637350196,0.6335553149257127,0.5520833333333334,0.7523240435437317,0.6278395037228173,0.5529726932261754,0.4470273067738247,0.6036330531553608,0.39636694684463925,0.6167324783243343,0.6167324783243343,0.6028059415416418,0.6028059415416418,0.5,0.5,0.020939218811690807,0.029974834993481636,-0.014263758901506662,0.5007263422012329,0.693146139383316
graph,2,0,30,HARD,0.45833333333333337,0.781740540061559,0.3283088602456693,0.5416666666666666,0.591378092609533,0.5,0.5416666666666666,0.6160358507168416,0.4351537259103558,0.5416666666666666,0.5966053963967661,0.43996141759042057,0.5141766425950371,0.5101511048839191,0.5559864877519198,0.5559864877519198,0.5602965163555339,0.4397034836444661,0.5526707580297578,0.44732924197024204,0.5,0.5,0.021372178569436073,0.03017303440719843,-0.01509681437164545,0.5008687376976013,0.6931456625461578
graph,2,0,60,IN,0.9479166666666667,0.9805010848088925,0.7792266910259791,0.46875,0.7376391271978078,0.5,0.46875,0.8040588209283792,0.45119617012676794,0.46875,0.813110618000658,0.4269015703710534,0.5500632499744982,0.4499367500255017,0.5792423003029975,0.4207576996970025,0.58728605504618,0.58728605504618,0.5738367494932324,0.5738367494932324,0.5,0.5,0.025311602279543877,0.041763151064515114,-0.08217351883649826,0.503590852022171,0.6931212246417999
graph,2,0,60,HARD,0.4895833333333333,0.8019797326308622,0.33969984540210074,0.47916666666666663,0.5926293372595466,0.5,0.47916666666666663,0.6105635801591511,0.5265743075008582,0.47916666666666663,0.6130061584679901,0.5483370966990301,0.5232254548585822,0.5232254548585822,0.558593091579278,0.558593091579278,0.56696309120358,0.43303690879642,0.5605860260798328,0.43941397392016723,0.5,0.5,0.025529637932777405,0.042139289900660515,-0.09047340974211693,0.5031164288520813,0.6931276023387909
graph,2,0,90,IN,0.96875,0.9882125728315905,0.8043197783250897,0.8333333333333333,0.7433134314867111,0.5,0.6145833333333333,0.8068838820373332,0.3954481484450132,0.48958333333333337,0.8208881634688487,0.3858289167253988,0.5596795824079884,0.4403204175920115,0.5953189141541766,0.4046810858458233,0.5944168408328683,0.5944168408328683,0.5754904774943115,0.5754904774943115,0.5,0.5,0.03116011805832386,0.04247155040502548,-0.09173089638352394,0.5029712021350861,0.6931272149085999
graph,2,0,90,HARD,0.4270833333333333,0.767508079098802,0.3120596137879645,0.5,0.5943132481478896,0.5,0.5,0.6106361347834193,0.5441565309027746,0.45833333333333337,0.6150647406256086,0.5598443244165208,0.5115076536747494,0.5108745123458261,0.549622726139375,0.549622726139375,0.5621174884440578,0.43788251155594216,0.556491760234574,0.44350823976542597,0.5,0.5,0.03183714114129543,0.04403672367334366,-0.10691750422120094,0.5014564692974091,0.6931419372558594
graph,2,0,120,IN,0.9479166666666666,0.9799789148856044,0.7819552481151952,0.41666666666666663,0.7422055520715651,0.5,0.5,0.8075125780896728,0.385171498858501,0.8020833333333334,0.8212287005419256,0.39496658195611795,0.5661206663657109,0.4338793336342891,0.5978334109288872,0.4021665890711128,0.5924759694756694,0.5924759694756694,0.5750124568286189,0.5750124568286189,0.5,0.5,0.030696247704327106,0.04301336407661438,-0.16841495782136917,0.5028913915157318,0.6931231915950775
graph,2,0,120,HARD,0.4583333333333333,0.7873518566836175,0.3186949616247533,0.5,0.5966429896750078,0.5,0.5,0.6087843380115802,0.5557523075334412,0.45833333333333337,0.6137773629268902,0.5664382455501378,0.5172973310710138,0.5172973310710138,0.552574418910403,0.552574418910403,0.5649805344909784,0.43501946550902165,0.5585140328076187,0.4414859671923813,0.5,0.5,0.034301456063985825,0.04751506261527538,-0.19535917788743973,0.5036728978157043,0.6931106150150299
graph,4,0,1,IN,0.7604166666666667,0.9471338165783644,0.6095875599974621,0.28125,0.7392665563471228,0.5,0.19791666666666666,0.6863209563882915,0.5192483459881618,0.28125,0.3344166734601294,0.5549127300437482,0.5283334604904496,0.4716665395095504,0.5531676546154627,0.4468323453845373,0.5245670434996943,0.5245670434996943,0.5129988275192285,0.5129988275192285,0.5,0.5,0.01881709322333336,0.029093223623931408,0.0858013704419136,0.2527591586112976,1.3862549662590027
graph,4,0,1,HARD,0.4375,0.7418447953659169,0.2521015099012157,0.3020833333333333,0.595689921526358,0.5,0.28125,0.570443781169726,0.5253303623056076,0.3020833333333333,0.44097384708887455,0.4131215480336057,0.5203856483317713,0.5203856483317713,0.5768666730431549,0.5768666730431549,0.5650345181828047,0.4349654818171953,0.5514864546010487,0.4485135453989513,0.5,0.5,0.018609100952744484,0.02915148064494133,0.08992474898695946,0.2529319226741791,1.3862520456314087
graph,4,0,30,IN,0.8020833333333333,0.9603840425430736,0.6651588105319375,0.23958333333333331,0.7442937335578317,0.5,0.23958333333333331,0.8238433593016452,0.5365593434345202,0.25,0.6791427788162353,0.5318236066556463,0.5054921440855661,0.4977579439128542,0.5263725969833898,0.4736274030166102,0.5321670769769267,0.5321670769769267,0.5326556627067895,0.5326556627067895,0.5,0.5,0.019147486425936222,0.028681807219982147,0.0685039833188057,0.25685375928878784,1.3861539363861084
graph,4,0,30,HARD,0.4583333333333333,0.76580506561472,0.2603953471469441,0.25,0.5970371114836954,0.5,0.25,0.6457384144185747,0.41357966533613166,0.22916666666666669,0.5583627732303884,0.4483744889552407,0.5214916195189641,0.5214916195189641,0.584977698714118,0.584977698714118,0.5672331769795925,0.4327668230204075,0.5510734076544082,0.44892659234559185,0.5,0.5,0.01979858335107565,0.02901995275169611,0.06752191856503487,0.25671447813510895,1.3861578702926636
graph,4,0,60,IN,0.78125,0.9522311252578058,0.6325262157700684,0.23958333333333331,0.7361754032441374,0.5,0.23958333333333331,0.808260197983788,0.45882179311690807,0.25,0.80880014009949,0.4506063541269674,0.5230247350749162,0.47697526492508374,0.5505023230694537,0.4494976769305462,0.5289662262767644,0.5289662262767644,0.5178418050925754,0.5178418050925754,0.5,0.5,0.021815448999404907,0.04006231017410755,0.0221084738150239,0.25585465133190155,1.3861963748931885
graph,4,0,60,HARD,0.4791666666666667,0.7964129033253005,0.2772933382410353,0.22916666666666669,0.6008031231056442,0.5,0.22916666666666669,0.6417626253723956,0.5448422407447372,0.25,0.6424420648454325,0.5592969597842524,0.526512689346516,0.526512689346516,0.5701107101570198,0.5701107101570198,0.5550804281940938,0.4449195718059062,0.540647605845042,0.459352394154958,0.5,0.5,0.02165293227881193,0.04071038216352463,0.007211293326690793,0.25524234771728516,1.386216938495636
graph,4,0,90,IN,0.84375,0.9650242252544537,0.6860597265747204,0.3333333333333333,0.7468078707068249,0.5,0.5416666666666666,0.8166162318725343,0.4649641312611522,0.1875,0.817560343713649,0.46579519106023426,0.521644888060014,0.47835511193998603,0.5251946369698057,0.4748053630301943,0.5171306324222803,0.5171306324222803,0.5090090295985641,0.5090090295985641,0.5,0.5,0.025087852962315083,0.039904139935970306,-0.02635874878615141,0.25350239872932434,1.386227309703827
graph,4,0,90,HARD,0.3854166666666667,0.7378208790925683,0.2317501347786949,0.28125,0.59633836408296,0.5,0.32291666666666663,0.6312862854157204,0.5543056914278066,0.30208333333333337,0.632269214208025,0.5630286983991256,0.5143811806803067,0.5111637549822609,0.5663273911928044,0.5663273911928044,0.5674225159735268,0.4325774840264732,0.5578345250621426,0.44216547493785746,0.5,0.5,0.027644753456115723,0.04211047664284706,-0.04948491416871548,0.2526957392692566,1.3862521648406982
graph,4,0,120,IN,0.7083333333333334,0.934509152749853,0.5720530996652746,0.5,0.7423549178840766,0.5,0.45833333333333337,0.8131592547060522,0.44622779417686287,0.4479166666666667,0.8196624153934882,0.45096602257031837,0.5318389796314686,0.46816102036853147,0.5355517473664453,0.46444825263355477,0.5162990749202171,0.5162990749202171,0.5115532808398435,0.5082322107629729,0.5,0.5,0.030099086463451385,0.04002068750560284,-0.07959899678826332,0.2548646032810211,1.3861661553382874
graph,4,0,120,HARD,0.3541666666666667,0.7227104293311017,0.19467716246509442,0.25,0.6008359382415176,0.5,0.19791666666666669,0.6331301840886011,0.588430487242412,0.3125,0.633918641518064,0.5885215838804998,0.5202631326791742,0.5202631326791742,0.5824267526847224,0.5824267526847224,0.5779398161164775,0.4220601838835225,0.5664514819650075,0.4335485180349925,0.5,0.5,0.03656407631933689,0.045226359739899635,-0.12670665979385376,0.2546640932559967,1.3862212300300598
